Name of Initiative,Organization Name,Notes,Location 1,Street Address,City,State,State Based,Phase 1,Phase 2,Facebook,Twitter,Youtube,Website,Category,MSA_Name,Unique ID,Map Display
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"2911 N. Tenaya Way, Suite 210, Las Vegas, NV (36.213898, -115.250207)","2911 N. Tenaya Way, Suite 210",Las Vegas,NV,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1027,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"6565 E. Carondelet Dr., Suite 285, Tucson, AZ (32.225974, -110.852785)","6565 E. Carondelet Dr., Suite 285",Tucson,AZ,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1028,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"1707 W. St. Marys Rd., Suite 275, Tucson, AZ (32.227354, -111.002096)","1707 W. St. Marys Rd., Suite 275",Tucson,AZ,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1029,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"275 W. Continental Rd., Suite 133, Green Valley, AZ (31.851185, -110.997796)","275 W. Continental Rd., Suite 133",Green Valley,AZ,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1030,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"1521 E. Tangerine Rd., Suite 331, Oro Valley, AZ (32.42814, -110.950274)","1521 E. Tangerine Rd., Suite 331",Oro Valley,AZ,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1031,
Enhancing Oncology Model,"Sierra Hematology & Oncology, Medical Center, A Professional Corporation",,"6555 Coyle Ave Suite 301, Carmichael, CA (38.66859, -121.311805)",6555 Coyle Ave Suite 301,Carmichael,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1032,
Enhancing Oncology Model,"Sierra Hematology & Oncology, Medical Center, A Professional Corporation",,"3939 J street Suite 360, Sacramento, CA (38.570213, -121.45374)",3939 J street Suite 360,Sacramento,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1033,
Enhancing Oncology Model,"Sierra Hematology & Oncology, Medical Center, A Professional Corporation",,"1580 Creekside Drive, Suite 230, Folsom, CA (38.66891, -121.148029)","1580 Creekside Drive, Suite 230",Folsom,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1034,
Enhancing Oncology Model,"Sierra Hematology & Oncology, Medical Center, A Professional Corporation",,"8100 Bruceville Road, Sacramento, CA (38.460781, -121.417792)",8100 Bruceville Road,Sacramento,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1035,
Enhancing Oncology Model,"Sierra Hematology & Oncology, Medical Center, A Professional Corporation",,"576 N, Sunrise Ave Suite 210, Roseville, CA (38.758607, -121.254458)","576 N, Sunrise Ave Suite 210",Roseville,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1036,
Enhancing Oncology Model,"The Oncology Institute FL, LLC",,"6766 West Sunrise Blvd., Suite 101, Plantation, FL (26.14243, -80.239405)","6766 West Sunrise Blvd., Suite 101",Plantation,FL,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1037,
Enhancing Oncology Model,"The Oncology Institute FL, LLC",,"6405 North Federal Hwy, Suite 300B, Fort Lauderdale, FL (26.208323, -80.110881)","6405 North Federal Hwy, Suite 300B",Fort Lauderdale,FL,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1038,
Enhancing Oncology Model,Torrance Health Association,,"3285 Skypark Drive, Torrance, CA (33.809394, -118.344693)",3285 Skypark Drive,Torrance,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1039,
Enhancing Oncology Model,"Northwest Medical Specialties, PLLC",,"1624 S. I Street Suite 102, Tacoma, WA (47.246235, -122.447852)",1624 S. I Street Suite 102,Tacoma,WA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1040,
Enhancing Oncology Model,"Northwest Medical Specialties, PLLC",,"3920 Capital Mall Dr. Suite 100, Olympia, WA (47.04234, -122.952206)",3920 Capital Mall Dr. Suite 100,Olympia,WA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1041,
Enhancing Oncology Model,"Northwest Medical Specialties, PLLC",,"10004 204th Ave E., Bonney Lake, WA (47.165505, -122.15705)",10004 204th Ave E.,Bonney Lake,WA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1042,
Enhancing Oncology Model,"Northwest Medical Specialties, PLLC",,"2940 S. Meridian Suite 100, Puyallup, WA (47.162507, -122.293517)",2940 S. Meridian Suite 100,Puyallup,WA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1043,
Enhancing Oncology Model,"Northwest Medical Specialties, PLLC",,"11511 Canterwood Blvd Suite 45, Gig Harbor, WA (47.363535, -122.612977)",11511 Canterwood Blvd Suite 45,Gig Harbor,WA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1044,
Enhancing Oncology Model,"Northwest Medical Specialties, PLLC",,"34509 9th Ave S. Suite 107, Federal Way, WA (47.292808, -122.326051)",34509 9th Ave S. Suite 107,Federal Way,WA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1045,
Enhancing Oncology Model,"PMK Medical Group, Inc.",,"1700 N Rose Ave Suite 320, Oxnard, CA (34.217363, -119.155538)",1700 N Rose Ave Suite 320,Oxnard,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1046,
Enhancing Oncology Model,"PMK Medical Group, Inc.",,"2900 Loma Vista Road Suite 200, Ventura, CA (34.275121, -119.256842)",2900 Loma Vista Road Suite 200,Ventura,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1047,
Enhancing Oncology Model,"PMK Medical Group, Inc.",,"500 Paseo Camarillo Suite 106, Camarillo, CA (34.220578, -119.062508)",500 Paseo Camarillo Suite 106,Camarillo,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1048,
Enhancing Oncology Model,West Clinic,,"7945 Wolf River Blvd, Germantown, TN (35.110956, -89.798631)",7945 Wolf River Blvd,Germantown,TN,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1049,
Enhancing Oncology Model,West Clinic,,"1588 Union Avenue, Memphis, TN (35.136284, -90.00881)",1588 Union Avenue,Memphis,TN,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1050,
Enhancing Oncology Model,West Clinic,,"7668 Airways Boulevard, Southaven, MS (34.972506, -89.989731)",7668 Airways Boulevard,Southaven,MS,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1051,
Enhancing Oncology Model,West Clinic,,"2001 State Drive, Corinth, MS (34.904545, -88.544599)",2001 State Drive,Corinth,MS,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1052,
Enhancing Oncology Model,West Clinic,,"240 Grandview Dr, Brighton, TN (35.471754, -89.745569)",240 Grandview Dr,Brighton,TN,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1053,
Enhancing Oncology Model,West Clinic,,"1290 Kelley Drive, Paris, TN (36.294432, -88.305963)",1290 Kelley Drive,Paris,TN,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1054,
Enhancing Oncology Model,"Tri-County Hematology and Oncology Associates, Inc.",,"7337 Caritas Circle NW, Suite 150, Massillon, OH (40.857826, -81.485873)","7337 Caritas Circle NW, Suite 150",Massillon,OH,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1055,
Enhancing Oncology Model,"Tri-County Hematology and Oncology Associates, Inc.",,"300 Medical Park Drive, Suite 201, Dover, OH (40.516751, -81.456913)","300 Medical Park Drive, Suite 201",Dover,OH,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1056,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"2440 E. South St., Long Beach, CA (33.859481, -118.163405)",2440 E. South St.,Long Beach,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1057,
Enhancing Oncology Model,"The Oncology Institute FL, LLC",,"6499 38th Ave N, Suite G1, St. Petersburg, FL (27.806684, -82.725893)","6499 38th Ave N, Suite G1",St. Petersburg,FL,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1058,
Enhancing Oncology Model,"The Oncology Institute FL, LLC",,"501 Dr. Martin Luther King Jr. St. South, Suite 201, St. Petersburg, FL (27.765291, -82.64687)","501 Dr. Martin Luther King Jr. St. South, Suite 201",St. Petersburg,FL,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1059,
Enhancing Oncology Model,"The Oncology Institute FL, LLC",,"500 Vonderburg Dr., Suite 204, Brandon, FL (27.930849, -82.287526)","500 Vonderburg Dr., Suite 204",Brandon,FL,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1060,
Enhancing Oncology Model,"The Oncology Institute FL, LLC",,"4730 Exploration Ave., Lakeland, FL (27.98046, -81.891766)",4730 Exploration Ave.,Lakeland,FL,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1061,
Enhancing Oncology Model,"The Oncology Institute FL, LLC",,"1601 W. Reynolds St., Suite 101, Plant City, FL (28.014339, -82.139311)","1601 W. Reynolds St., Suite 101",Plant City,FL,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1062,
Enhancing Oncology Model,"The Oncology Institute FL, LLC",,"4700 N. Habana Ave., Suite 702, Tampa, FL (27.985764, -82.489289)","4700 N. Habana Ave., Suite 702",Tampa,FL,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1063,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"1801 W. Romneya Dr., Suite 103, Anaheim, CA (33.851187, -117.946407)","1801 W. Romneya Dr., Suite 103",Anaheim,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1064,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"6121 N. Thesta St., Suite 204, Fresno, CA (36.825195, -119.783855)","6121 N. Thesta St., Suite 204",Fresno,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1065,
Enhancing Oncology Model,"Arizona Oncology Associates, PC",,"2625 N Craycroft Road, Suite 201, Tuscon, AZ (32.2547584, -110.8784471)","2625 N Craycroft Road, Suite 201",Tuscon,AZ,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1066,
Enhancing Oncology Model,"Northwest Cancer Specialists PC, dba Compass Oncology",,"12123 SW 69th Ave., Tigard, OR (45.432558, -122.748068)",12123 SW 69th Ave.,Tigard,OR,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1067,
Enhancing Oncology Model,"Northwest Cancer Specialists PC, dba Compass Oncology",,"265 N Broadway, Portland, OR (45.535184, -122.66992)",265 N Broadway,Portland,OR,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1068,
Enhancing Oncology Model,"Northwest Cancer Specialists PC, dba Compass Oncology",,"5050 NE Hoyt St., Ste. 256, Portland, OR (45.526964, -122.61155)","5050 NE Hoyt St., Ste. 256",Portland,OR,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1069,
Enhancing Oncology Model,"Northwest Cancer Specialists PC, dba Compass Oncology",,"210 SE 136th Ave., VANCOUVER, WA (45.620239, -122.534469)",210 SE 136th Ave.,VANCOUVER,WA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1070,
Enhancing Oncology Model,Bryn Mawr Medical Specialists,,"825 Old Lancaster Ave, Bryn Mawr, PA (40.020186, -75.321102)",825 Old Lancaster Ave,Bryn Mawr,PA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1071,
Enhancing Oncology Model,"Minnesota Oncology Hematology, P. A.",,"675 East Nicollet Boulevard, Suite 100, Burnsville, MN (44.75167, -93.265876)","675 East Nicollet Boulevard, Suite 100",Burnsville,MN,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1072,
Enhancing Oncology Model,"Minnesota Oncology Hematology, P. A.",,"110105 Pioneer Trail, Suite 302, Chaska, MN (44.827858, -93.603697)","110105 Pioneer Trail, Suite 302",Chaska,MN,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1073,
Enhancing Oncology Model,"Minnesota Oncology Hematology, P. A.",,"1580 Beam Avenue, Maplewood, MN (45.027902, -93.034789)",1580 Beam Avenue,Maplewood,MN,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1074,
Enhancing Oncology Model,"Minnesota Oncology Hematology, P. A.",,"11850 Blackfoot Street NW, Suite 100, Coon Rapids, MN (45.1851254, -93.3718643)","11850 Blackfoot Street NW, Suite 100",Coon Rapids,MN,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1075,
Enhancing Oncology Model,"Minnesota Oncology Hematology, P. A.",,"6545 France Ave, Suite 210, Edina, MN (44.884737, -93.329094)","6545 France Ave, Suite 210",Edina,MN,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1076,
Enhancing Oncology Model,"Minnesota Oncology Hematology, P. A.",,"480 Osborne Rd NE, Suite 220, Fridley, MN (45.1072476, -93.261776)","480 Osborne Rd NE, Suite 220",Fridley,MN,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1077,
Enhancing Oncology Model,"Minnesota Oncology Hematology, P. A.",,"910 E. 26th Street, Suite 200, Minneapolis, MN (44.955712, -93.260557)","910 E. 26th Street, Suite 200",Minneapolis,MN,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1078,
Enhancing Oncology Model,"Minnesota Oncology Hematology, P. A.",,"2805 Campus Drive, Suite 105, Plymouth, MN (45.01086, -93.454072)","2805 Campus Drive, Suite 105",Plymouth,MN,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1079,
Enhancing Oncology Model,"Minnesota Oncology Hematology, P. A.",,"310 Smith Ave N, Suite 100, St. Paul, MN (44.941765, -93.107605)","310 Smith Ave N, Suite 100",St. Paul,MN,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1080,
Enhancing Oncology Model,"Minnesota Oncology Hematology, P. A.",,"560 Maple Street South, Suite 100, Waconia, MN (44.842093, -93.792115)","560 Maple Street South, Suite 100",Waconia,MN,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1081,
Enhancing Oncology Model,"Minnesota Oncology Hematology, P. A.",,"6025 Lake Road, Suite 110, Woodbury, MN (44.917641, -92.983074)","6025 Lake Road, Suite 110",Woodbury,MN,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1082,
Enhancing Oncology Model,"Oncology & Hematology Assoc. of Southwest Virginia, lnc.",,"1 ARH Lane, Suite 203, Low Moor, VA (37.792015, -79.881035)","1 ARH Lane, Suite 203",Low Moor,VA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1083,
Enhancing Oncology Model,"Oncology & Hematology Assoc. of Southwest Virginia, lnc.",,"1710 Whitfield Drive, Bedford, VA (37.35314, -79.519203)",1710 Whitfield Drive,Bedford,VA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1084,
Enhancing Oncology Model,"Oncology & Hematology Assoc. of Southwest Virginia, lnc.",,"2600 Research Center Dr., Suite A, Blacksburg, VA (37.195457, -80.40438)","2600 Research Center Dr., Suite A",Blacksburg,VA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1085,
Enhancing Oncology Model,"Oncology & Hematology Assoc. of Southwest Virginia, lnc.",,"390 South Main Street, Suite 103, Rocky Mount, VA (36.993812, -79.890387)","390 South Main Street, Suite 103",Rocky Mount,VA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1086,
Enhancing Oncology Model,"Oncology & Hematology Assoc. of Southwest Virginia, lnc.",,"1900 Electric Road, Salem, VA (37.263169, -80.031284)",1900 Electric Road,Salem,VA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1087,
Enhancing Oncology Model,"Oncology & Hematology Assoc. of Southwest Virginia, lnc.",,"108 Houston Street, Suite B, Lexington, VA (37.777969, -79.444107)","108 Houston Street, Suite B",Lexington,VA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1088,
Enhancing Oncology Model,"Oncology & Hematology Assoc. of Southwest Virginia, lnc.",,"2400 Lee Highway, Pulaski, VA (37.068329, -80.757196)",2400 Lee Highway,Pulaski,VA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1089,
Enhancing Oncology Model,"Oncology & Hematology Assoc. of Southwest Virginia, lnc.",,"2013 South Jefferson Street, Roanoke, VA (37.251874, -79.94323)",2013 South Jefferson Street,Roanoke,VA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1090,
Enhancing Oncology Model,"Oncology & Hematology Assoc. of Southwest Virginia, lnc.",,"710 West Ridge Road, Suite E, Wytheville, VA (36.953465, -81.096809)","710 West Ridge Road, Suite E",Wytheville,VA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1091,
Enhancing Oncology Model,Virginia Oncology Associates,,"744 N Battlefield Blvd, Suite 200, Chesapeake, VA (36.746807, -76.246262)","744 N Battlefield Blvd, Suite 200",Chesapeake,VA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1092,
Enhancing Oncology Model,Virginia Oncology Associates,,"1051 Loftis Boulevard, Suite 100, Newport News, VA (37.08402, -76.486302)","1051 Loftis Boulevard, Suite 100",Newport News,VA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1093,
Enhancing Oncology Model,Virginia Oncology Associates,,"1503 B North Road Street, Elizabeth City, NC (36.335548, -76.234745)",1503 B North Road Street,Elizabeth City,NC,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1094,
Enhancing Oncology Model,Virginia Oncology Associates,,"3000 Coliseum Drive, Suite 104, Norfolk, VA (37.056620, -76.390110)","3000 Coliseum Drive, Suite 104",Norfolk,VA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1095,
Enhancing Oncology Model,Virginia Oncology Associates,,"6251 E Virginia Beach Blvd, Norfolk, VA (36.854307, -76.191275)",6251 E Virginia Beach Blvd,Norfolk,VA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1096,
Enhancing Oncology Model,Virginia Oncology Associates,,"5838 Harbour View Boulevard, Suite 105, Suffolk, VA (36.870061, -76.440623)","5838 Harbour View Boulevard, Suite 105",Suffolk,VA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1097,
Enhancing Oncology Model,Virginia Oncology Associates,,"2790 Godwin Boulevard, Suite 101, Suffolk, VA (36.772689, -76.58122)","2790 Godwin Boulevard, Suite 101",Suffolk,VA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1098,
Enhancing Oncology Model,Virginia Oncology Associates,,"1950 Glenn Mitchell Drive, Virginia Beach, VA (36.775997, -76.096864)",1950 Glenn Mitchell Drive,Virginia Beach,VA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1099,
Enhancing Oncology Model,Virginia Oncology Associates,,"500 Sentara Circle, Suite 203, Williamsburg, VA (37.337948, -76.740898)","500 Sentara Circle, Suite 203",Williamsburg,VA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1100,
Enhancing Oncology Model,Texas Oncology,,"100 Park Road, Nocona, TX (33.777263, -97.732666)",100 Park Road,Nocona,TX,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1101,
Enhancing Oncology Model,Texas Oncology,,"100 S. Ave M, Olney, TX (33.37043, -98.765417)",100 S. Ave M,Olney,TX,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1102,
Enhancing Oncology Model,"American Oncology Network, Inc.",,"1001 Schneider Dr, Suite 105, Malvern, AR (34.3589, -92.7848)","1001 Schneider Dr, Suite 105",Malvern,AR,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1103,
Enhancing Oncology Model,"American Oncology Network, Inc.",,"101 Plaza Carmona Place, Suite C, Hot Springs Village, AR (34.6792, -92.9995)","101 Plaza Carmona Place, Suite C",Hot Springs Village,AR,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1104,
Enhancing Oncology Model,"American Oncology Network, Inc.",,"115 Fairview Rd SW, Camden, AR (33.5356, -92.825768)",115 Fairview Rd SW,Camden,AR,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1105,
Enhancing Oncology Model,"American Oncology Network, Inc.",,"136 Health Park Lane, Mena, AR (34.592983, -94.208526)",136 Health Park Lane,Mena,AR,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1106,
Enhancing Oncology Model,"American Oncology Network, Inc.",,"1455 Higdon Ferry Rd, Suite B, Hot Springs, AR (34.4671, -93.0697)","1455 Higdon Ferry Rd, Suite B",Hot Springs,AR,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1107,
Enhancing Oncology Model,"American Oncology Network, Inc.",,"2910 Cypress Rd, Arkadelphia, AR (34.124368, -93.087998)",2910 Cypress Rd,Arkadelphia,AR,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1108,
Enhancing Oncology Model,"American Oncology Network, Inc.",,"2910 Cypress Rd, Arkadelphia, AR (34.124368, -93.087998)",2910 Cypress Rd,Arkadelphia,AR,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1109,
Enhancing Oncology Model,"American Oncology Network, Inc.",,"130 Medical Cir, Nashville, AR (33.949667, -93.880089)",130 Medical Cir,Nashville,AR,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1110,
Enhancing Oncology Model,"American Oncology Network, Inc.",,"133 Harmony Park Cir, Hot Springs, AR (34.464032, -93.066918)",133 Harmony Park Cir,Hot Springs,AR,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1111,
Enhancing Oncology Model,"American Oncology Network, Inc.",,"1808 West Main St, Suite 200, Russellville, AR (35.2836, -93.1498)","1808 West Main St, Suite 200",Russellville,AR,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1112,
Enhancing Oncology Model,"American Oncology Network, Inc.",,"3 Medical Park Drive, Suite 202, Benton, AR (34.5744, -92.5853)","3 Medical Park Drive, Suite 202",Benton,AR,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1113,
Enhancing Oncology Model,Texas Oncology,,"10425 N. Central Expressway, Dallas, TX (32.888647, -96.770569)",10425 N. Central Expressway,Dallas,TX,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1114,
Enhancing Oncology Model,Texas Oncology,,"2021 North MacArthur Blvd., Irving, TX (32.835354, -96.961007)",2021 North MacArthur Blvd.,Irving,TX,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1115,
Enhancing Oncology Model,Texas Oncology,,"21216 Northwest Freeway, Cypress, TX (29.925609, -95.633075)",21216 Northwest Freeway,Cypress,TX,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1116,
Enhancing Oncology Model,Texas Oncology,,"1000 S. Coulter, Amarillo, TX (35.204367, -101.922861)",1000 S. Coulter,Amarillo,TX,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1117,
Enhancing Oncology Model,Texas Oncology,,"1025 Birdsong Drive, Baytown, TX (29.765934, -94.976235)",1025 Birdsong Drive,Baytown,TX,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1118,
